,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,MiscFeature,SaleType,SaleCondition,OverallCond,GarageArea_x,TotalBsmtSF_x,BsmtFinSF1_x,OverallQual,GrLivArea,GarageCars,GarageArea_y,TotalBsmtSF_y,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,GarageYrBlt,MasVnrArea,Fireplaces,BsmtFinSF1_y,LotFrontage,WoodDeckSF,2ndFlrSF,OpenPorchSF,HalfBath,LotArea,BsmtFullBath,BsmtUnfSF
10,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,GasA,Ex,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,0,WD,Normal,5,384,1040,906,5,1040,1,384,1040,1040,1,5,1965,1965,1965.0,0.0,0,906,70.0,0,0,0,0,11200,1,134
11,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,WdShing,Wd Shng,Stone,Ex,TA,PConc,Ex,TA,No,GLQ,GasA,Ex,Y,SBrkr,Ex,Typ,BuiltIn,Fin,TA,TA,Y,0,New,Partial,5,736,1175,998,9,2324,3,736,1175,1182,3,11,2005,2006,2005.0,286.0,2,998,85.0,147,1142,21,0,11924,1,177
12,RL,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,GasA,TA,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,0,WD,Normal,6,352,912,737,5,912,1,352,912,912,1,4,1962,1962,1962.0,0.0,0,737,80.0,140,0,0,0,12968,1,175
13,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,0,New,Partial,5,840,1494,0,7,1494,3,840,1494,1494,2,7,2006,2007,2006.0,306.0,1,0,91.0,160,0,33,0,10652,0,1494
14,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,GasA,TA,Y,SBrkr,TA,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,5,352,1253,733,6,1253,1,352,1253,1253,1,5,1960,1960,1960.0,212.0,1,733,78.76470588235293,0,0,213,1,10920,1,520
15,RM,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,GasA,Ex,Y,FuseA,TA,Typ,Detchd,Unf,TA,TA,Y,0,WD,Normal,8,576,832,0,7,854,2,576,832,854,1,5,1929,2001,1991.0,0.0,0,0,51.0,48,0,112,0,6120,0,832
16,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,1,WD,Normal,7,480,1004,578,6,1004,2,480,1004,1004,1,5,1970,1970,1970.0,180.0,1,578,76.76470588235293,0,0,0,0,11241,1,426
17,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,Slab,TA,Po,No,Unf,GasA,TA,Y,SBrkr,TA,Typ,CarPort,Unf,TA,TA,Y,1,WD,Normal,5,516,0,0,4,1296,2,516,0,1296,2,6,1967,1967,1967.0,0.0,0,0,72.0,0,0,0,0,10791,0,0
18,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,GLQ,GasA,Ex,Y,SBrkr,Gd,Typ,Detchd,Unf,TA,TA,Y,0,WD,Normal,5,576,1114,646,5,1114,2,576,1114,1114,1,6,2004,2004,2004.0,0.0,0,646,66.0,0,0,102,1,13695,1,468
19,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,None,TA,TA,CBlock,TA,TA,No,LwQ,GasA,TA,Y,SBrkr,TA,Min1,Attchd,Unf,TA,TA,Y,0,COD,Abnorml,6,294,1029,504,5,1339,1,294,1029,1339,1,6,1958,1965,1958.0,0.0,0,504,70.0,0,0,0,0,7560,0,525
20,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,BuiltIn,RFn,TA,TA,Y,0,New,Partial,5,853,1158,0,8,2376,3,853,1158,1158,3,9,2005,2006,2005.0,380.0,1,0,101.0,240,1218,154,1,14215,0,1158
21,RM,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,GasA,Ex,Y,FuseF,Gd,Typ,Attchd,Unf,TA,TA,N,0,WD,Normal,7,280,637,0,7,1108,1,280,637,1108,1,6,1930,1950,1930.0,0.0,1,0,57.0,0,0,0,0,7449,0,637
22,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,5,534,1777,0,8,1795,2,534,1777,1795,2,7,2002,2002,2002.0,281.0,1,0,75.0,171,0,159,0,9742,0,1777
23,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,PConc,Gd,TA,No,GLQ,GasA,TA,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,0,WD,Normal,7,572,1040,840,5,1060,2,572,1040,1060,1,6,1976,1976,1976.0,0.0,1,840,44.0,100,0,110,0,4224,1,200
24,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,TA,Gd,CBlock,TA,TA,Mn,Rec,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Unf,TA,TA,Y,0,WD,Normal,8,270,1060,188,5,1060,1,270,1060,1060,1,6,1968,2001,1968.0,0.0,1,188,64.70588235294117,406,0,90,0,8246,1,204
25,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,5,890,1566,0,8,1600,3,890,1566,1600,2,7,2007,2007,2007.0,640.0,1,0,110.0,0,0,56,0,14230,0,1566
26,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,BLQ,GasA,TA,Y,SBrkr,Gd,Typ,Detchd,Unf,TA,TA,Y,0,WD,Normal,7,576,900,234,5,900,2,576,900,900,1,5,1951,2000,2005.0,0.0,0,234,60.0,222,0,32,0,7200,0,180
27,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,5,772,1704,1218,8,1704,3,772,1704,1704,2,7,2007,2008,2008.0,200.0,1,1218,98.0,0,0,50,0,11478,1,486
28,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,Gd,BLQ,GasA,TA,Y,SBrkr,TA,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,6,319,1484,1277,5,1600,1,319,1484,1600,1,6,1957,1997,1957.0,0.0,2,1277,47.0,288,0,258,0,16321,1,207
29,RM,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,GasA,Fa,N,SBrkr,Fa,Typ,Detchd,Unf,Fa,TA,Y,0,WD,Normal,6,240,520,0,4,520,1,240,520,520,1,4,1927,1950,1920.0,0.0,0,0,60.0,49,0,0,0,6324,0,520
30,C (all),Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,Gambrel,CompShg,BrkFace,BrkFace,None,TA,Fa,BrkTil,TA,TA,No,Unf,GasA,TA,N,SBrkr,TA,Typ,Detchd,Unf,TA,Fa,N,0,WD,Normal,4,250,649,0,4,1317,1,250,649,649,1,6,1920,1950,1920.0,0.0,0,0,50.0,0,668,54,0,8500,0,649
31,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,Unf,TA,TA,Y,0,WD,Normal,6,271,1228,0,5,1228,1,271,1228,1228,1,6,1966,2006,1966.0,0.0,0,0,74.6470588235294,0,0,65,1,8544,0,1228
32,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,Av,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,5,484,1234,0,8,1234,2,484,1234,1234,2,7,2007,2007,2007.0,0.0,0,0,85.0,0,0,30,0,11049,0,1234
33,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,None,TA,TA,CBlock,TA,TA,No,Rec,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,5,447,1398,1018,5,1700,2,447,1398,1700,1,6,1959,1959,1959.0,0.0,1,1018,70.0,0,0,38,1,10552,0,380
34,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,GasA,Ex,Y,SBrkr,Ex,Typ,Attchd,Fin,TA,TA,Y,0,WD,Normal,5,556,1561,1153,9,1561,2,556,1561,1561,2,6,2005,2005,2005.0,246.0,1,1153,60.0,203,0,47,0,7313,1,408
35,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,BuiltIn,Fin,TA,TA,Y,0,WD,Normal,5,691,1117,0,8,2452,3,691,1117,1132,3,9,2004,2005,2004.0,132.0,1,0,108.0,113,1320,32,1,13418,0,1117
36,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,0,WD,Normal,5,672,1097,0,5,1097,2,672,1097,1097,1,6,1994,1995,1995.0,0.0,0,0,112.0,392,0,64,1,10859,0,1097
37,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,GasA,Gd,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,0,WD,Normal,6,498,1297,1213,5,1297,2,498,1297,1297,1,5,1954,1990,1954.0,650.0,1,1213,74.0,0,0,0,0,8532,0,84
38,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,GasA,TA,Y,SBrkr,Gd,Typ,Detchd,Unf,TA,TA,Y,0,WD,Abnorml,7,246,1057,731,5,1057,1,246,1057,1057,1,5,1953,2007,1953.0,0.0,0,731,68.0,0,0,52,0,7922,1,326
39,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,AsbShng,Plywood,None,TA,TA,PConc,TA,Po,No,Unf,GasA,TA,N,FuseP,Fa,Typ,BuiltIn,Unf,TA,TA,N,0,WD,AdjLand,5,0,0,0,4,1152,0,0,0,1152,2,6,1955,1955,1935.0,0.0,0,0,65.0,0,0,0,0,6040,0,0
40,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,RFn,TA,TA,Y,0,WD,Abnorml,5,440,1088,643,6,1324,2,440,1088,1324,2,6,1965,1965,1965.0,101.0,1,643,84.0,0,0,138,0,8658,0,445
41,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,Gd,BLQ,GasA,Gd,Y,SBrkr,TA,Typ,Attchd,RFn,TA,TA,P,0,WD,Normal,6,308,1350,967,5,1328,1,308,1350,1328,1,5,1959,1959,1959.0,0.0,2,967,115.0,0,0,104,1,16905,0,383
42,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,TA,Av,ALQ,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,Gd,Y,0,WD,Normal,7,504,840,747,5,884,2,504,840,884,1,5,1983,1983,1983.0,0.0,0,747,63.29411764705882,240,0,0,0,9180,1,0
43,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,Av,LwQ,GasA,TA,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,0,WD,Normal,6,308,938,280,5,938,1,308,938,938,1,5,1975,1980,1977.0,0.0,0,280,64.58823529411765,145,0,0,0,9200,1,167
44,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,GasA,Ex,Y,FuseA,TA,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,6,300,1150,179,5,1150,1,300,1150,1150,1,6,1959,1959,1959.0,0.0,0,179,70.0,0,0,0,0,7945,1,465
45,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,GasA,Ex,Y,SBrkr,Ex,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,5,576,1752,456,9,1752,2,576,1752,1752,2,6,2005,2005,2005.0,412.0,1,456,61.0,196,0,82,0,7658,1,1296
46,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,No,GLQ,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,0,WD,Abnorml,5,670,1434,1351,7,2149,2,670,1434,1518,1,6,2003,2003,2003.0,0.0,1,1351,48.0,168,631,43,1,12822,1,83
47,FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,5,826,1656,24,8,1656,3,826,1656,1656,2,7,2006,2006,2006.0,0.0,0,24,84.0,0,0,146,0,11096,0,1632
48,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,GasA,Gd,Y,SBrkr,TA,Typ,BuiltIn,Unf,TA,TA,N,0,New,Partial,5,0,736,0,4,1452,0,0,736,736,2,8,1920,2008,1950.0,0.0,0,0,33.0,0,716,0,0,4456,0,736
49,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,BLQ,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,0,WD,Normal,7,386,955,763,5,955,1,386,955,955,1,6,1966,1966,1966.0,0.0,0,763,66.0,0,0,0,0,7742,1,192
50,RL,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Av,GLQ,GasA,Gd,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,0,WD,Normal,6,388,794,182,6,1470,2,388,794,794,2,6,1997,1997,1997.0,0.0,0,182,71.70588235294117,0,676,75,0,13869,0,612
51,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,GasA,TA,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,1,WD,Normal,6,528,816,0,6,1176,2,528,816,816,1,6,1934,1950,1985.0,0.0,1,0,52.0,112,0,0,0,6240,0,816
52,RM,Grvl,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,Fa,TA,CBlock,Gd,TA,Gd,LwQ,GasA,TA,N,SBrkr,TA,Typ,CarPort,Unf,TA,TA,Y,0,WD,Normal,5,516,816,104,5,816,2,516,816,816,1,5,1963,1963,1963.0,0.0,0,104,110.0,106,0,0,0,8472,1,0
53,RL,Pave,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,Gable,WdShngl,WdShing,Wd Shng,None,Gd,TA,CBlock,Ex,TA,Gd,GLQ,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,0,WD,Normal,5,894,1842,1810,9,1842,3,894,1842,1842,0,5,1981,1987,1981.0,0.0,1,1810,68.0,857,0,72,1,50271,2,32
54,RL,Pave,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,No,ALQ,GasA,TA,Y,SBrkr,TA,Min1,Detchd,Unf,TA,TA,Y,0,WD,Normal,5,572,384,384,5,1360,2,572,384,1360,1,6,1955,1955,1962.0,0.0,1,384,60.0,0,0,50,0,7134,0,0
55,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,GasA,Gd,Y,SBrkr,TA,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,5,576,1425,490,6,1425,2,576,1425,1425,2,7,1964,1964,1964.0,272.0,1,490,100.0,0,0,0,0,10175,0,935
56,FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,0,WD,Abnorml,5,480,970,649,8,1739,2,480,970,983,2,7,1999,2000,1999.0,456.0,0,649,24.0,115,756,0,1,2645,1,321
57,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,0,WD,Normal,5,565,860,0,7,1720,2,565,860,860,2,7,2004,2004,2004.0,0.0,0,0,89.0,0,860,70,1,11645,0,860
